epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,99655,1.10662,1.74019,1.76995,0.68663,0.66296,0.72877,0.48389,1.15691,1.1746,1.99578,0.00142584,0.00142584,0.00142584
74,101527,1.10524,1.73724,1.77315,0.66995,0.71323,0.74724,0.50071,1.17169,1.16032,2.02665,0.00141157,0.00141157,0.00141157
75,102887,1.09958,1.73585,1.76451,0.67151,0.70033,0.73969,0.48915,1.18544,1.15956,2.08424,0.00139721,0.00139721,0.00139721
76,104214,1.10458,1.74582,1.77029,0.61276,0.71093,0.72422,0.49108,1.13642,1.1466,2.00221,0.00138275,0.00138275,0.00138275
77,105674,1.1009,1.72397,1.76119,0.6808,0.72602,0.7456,0.50279,1.14666,1.12767,2.01501,0.00136819,0.00136819,0.00136819
78,107203,1.1051,1.72486,1.76258,0.69817,0.69564,0.74735,0.50381,1.14297,1.10694,1.97945,0.00135354,0.00135354,0.00135354
79,108083,1.09616,1.69253,1.7687,0.71022,0.70835,0.7371,0.50149,1.14763,1.14663,1.99485,0.0013388,0.0013388,0.0013388
80,109309,1.08327,1.69136,1.74796,0.70331,0.68854,0.76148,0.50746,1.14297,1.11742,1.99418,0.00132399,0.00132399,0.00132399
81,110651,1.08437,1.68375,1.74086,0.70754,0.70963,0.75764,0.50549,1.15829,1.11397,2.02209,0.00130909,0.00130909,0.00130909
82,112073,1.0827,1.66602,1.74228,0.7002,0.67595,0.73964,0.4937,1.15124,1.13352,2.01614,0.00129411,0.00129411,0.00129411
83,113528,1.08312,1.6876,1.74816,0.70742,0.67928,0.74985,0.50336,1.13826,1.11928,1.97838,0.00127906,0.00127906,0.00127906
84,114809,1.07463,1.6472,1.73332,0.68559,0.69473,0.74272,0.50156,1.15849,1.1201,2.00725,0.00126395,0.00126395,0.00126395
85,116175,1.07584,1.65321,1.7357,0.72688,0.70264,0.75083,0.50631,1.15365,1.08588,2.01129,0.00124877,0.00124877,0.00124877
86,117825,1.08459,1.65634,1.74526,0.69522,0.72443,0.75621,0.51651,1.14346,1.08885,2.00551,0.00123352,0.00123352,0.00123352
87,119220,1.06628,1.6396,1.7344,0.66548,0.7342,0.75146,0.51053,1.129,1.08653,1.97629,0.00121822,0.00121822,0.00121822
88,120621,1.07365,1.63415,1.73375,0.66023,0.74362,0.74636,0.50206,1.12769,1.10754,1.97246,0.00120287,0.00120287,0.00120287
89,122001,1.05994,1.6046,1.72218,0.76175,0.6544,0.75526,0.5116,1.14579,1.09872,2.00602,0.00118746,0.00118746,0.00118746
90,123061,1.06391,1.62815,1.72523,0.71115,0.69947,0.7603,0.52392,1.11951,1.03047,1.97105,0.00117201,0.00117201,0.00117201
91,124544,1.0504,1.61412,1.72037,0.73706,0.69443,0.75371,0.50797,1.12137,1.07028,1.97273,0.00115652,0.00115652,0.00115652
92,125832,1.05066,1.56469,1.71336,0.69633,0.71578,0.75761,0.51895,1.12316,1.10324,1.95609,0.00114099,0.00114099,0.00114099
93,126892,1.05179,1.57646,1.71125,0.71035,0.69768,0.7489,0.50708,1.10096,1.09646,1.92056,0.00112542,0.00112542,0.00112542
94,128402,1.05832,1.59744,1.71965,0.71854,0.6915,0.75504,0.51464,1.13643,1.05931,1.97764,0.00110982,0.00110982,0.00110982
95,129447,1.04663,1.58005,1.70823,0.68644,0.72721,0.76624,0.52485,1.10528,1.09636,1.9427,0.0010942,0.0010942,0.0010942
96,130927,1.0473,1.5609,1.71232,0.67716,0.75695,0.75463,0.51704,1.11017,1.05238,1.95389,0.00107855,0.00107855,0.00107855
97,132280,1.05593,1.56031,1.71435,0.68818,0.74759,0.7608,0.52293,1.10921,1.06867,1.92976,0.00106288,0.00106288,0.00106288
98,133493,1.03617,1.53731,1.69071,0.67852,0.73401,0.75825,0.51384,1.11378,1.05925,1.95704,0.0010472,0.0010472,0.0010472
99,134676,1.04069,1.55403,1.70194,0.68904,0.74641,0.78043,0.52857,1.12762,1.05205,1.98587,0.00103151,0.00103151,0.00103151
100,136017,1.04092,1.55674,1.70044,0.68526,0.7282,0.75639,0.51528,1.11943,1.05801,1.96398,0.00101581,0.00101581,0.00101581
101,137181,1.03618,1.5383,1.70096,0.73373,0.74276,0.77316,0.52424,1.114,1.06484,1.96233,0.0010001,0.0010001,0.0010001
102,138473,1.03163,1.53228,1.69243,0.74074,0.71542,0.77286,0.52221,1.11551,1.0646,1.96967,0.000984394,0.000984394,0.000984394
103,139791,1.03472,1.5317,1.69639,0.76684,0.69251,0.76589,0.52377,1.11525,1.04763,1.95904,0.000968692,0.000968692,0.000968692
104,141303,1.03709,1.52672,1.69997,0.70855,0.73603,0.77006,0.52146,1.09811,1.05587,1.93105,0.000952998,0.000952998,0.000952998
105,142562,1.02652,1.49968,1.69156,0.74524,0.67449,0.76922,0.52319,1.11243,1.04904,1.96755,0.000937316,0.000937316,0.000937316
106,143712,1.02571,1.51598,1.68535,0.7176,0.71151,0.76417,0.51444,1.11827,1.0603,1.9671,0.000921649,0.000921649,0.000921649
107,144995,1.01648,1.50584,1.67752,0.73001,0.74717,0.77697,0.52674,1.11789,1.04567,1.97753,0.000906001,0.000906001,0.000906001
108,146473,1.01486,1.49245,1.68004,0.73327,0.73713,0.76324,0.52286,1.10563,1.03711,1.96648,0.000890377,0.000890377,0.000890377
109,148083,1.02091,1.47979,1.67713,0.67151,0.73365,0.75707,0.52402,1.11006,1.06302,1.96602,0.000874779,0.000874779,0.000874779
110,149501,1.0173,1.48694,1.67992,0.73312,0.68429,0.75676,0.52716,1.1126,1.05477,1.95135,0.000859213,0.000859213,0.000859213
111,150734,1.00522,1.45617,1.66329,0.73209,0.73042,0.77044,0.53311,1.111,1.02734,1.98116,0.000843681,0.000843681,0.000843681
112,152189,1.02542,1.49784,1.68144,0.73789,0.72903,0.77545,0.5328,1.11975,1.03623,1.99336,0.000828188,0.000828188,0.000828188
113,153371,1.0085,1.48354,1.67384,0.72408,0.73895,0.77567,0.53071,1.12076,1.04379,2.00094,0.000812737,0.000812737,0.000812737
